,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
3558,0.0,0.0,19414542.686535418,0.017851667122951977,55383051.94141113,0.09431274443596141,17277880.885092985,0.008162024241003927,47367555.38670851,0.041399413838978764,710400000.0,0.0
3559,0.0,0.0,36977162.38977422,0.035031751199288814,52801479.099399574,0.09427283641751155,143190082.63981256,0.054523752102954126,700806737.5231849,0.5967512629536924,710400000.0,0.0
3560,0.0,0.0,29154358.99793116,0.02650632383830201,30724854.38614814,0.05258547491357689,106283167.37803912,0.04324195737300773,90967402.42839897,0.07886462442150574,710400000.0,0.0
3561,0.0,0.0,9819309.933290381,0.010163098397573001,616908789.2111137,1.0794274235397103,4728422.25907736,0.0026887529815251988,215700875.3144186,0.2041929972459791,710400000.0,0.0
3562,0.0,0.0,102810822.44846784,0.10372362253544817,4235710.82210527,0.008518062145689075,6837130.802981477,0.003984395809228556,177222190.51823723,0.1748809510142332,710400000.0,0.0
3563,0.0,0.0,521883963.91988826,0.4459742104486084,20000640.81603095,0.0359980730319755,9974299.545543931,0.005155252699168458,37913119.56197222,0.03475150943405067,710400000.0,0.0
3564,0.0,0.0,9937553.635037996,0.010397339929233558,79884240.10955875,0.15209361796106305,3017036.349649223,0.001835262138883883,196979758.4806167,0.18894638001810077,710400000.0,0.0
3565,0.0,0.0,201502253.91848633,0.17113891105381246,20944020.000637427,0.03590753260729124,7972531.883321603,0.003984582127673823,12444097.02021977,0.010892455113026342,710400000.0,0.0
3566,36361400.19369334,0.024175414213731365,26237619.41930847,0.026276964748561782,18908249.169807103,0.03582243025077661,2899311.4708626303,0.0016759454441323545,56306207.53990993,0.05391267458496926,710400000.0,0.0
3567,1187481.4801016478,0.0006799842620048798,30682111.92908674,0.026642608827954044,9961350.669946384,0.016366576381951898,8643926.93834847,0.004204033572878781,443191647.71550024,0.3528178912032705,710400000.0,0.0
3568,0.0,0.0,25045864.568394817,0.02659409993435936,26375945.489498027,0.05267836265912994,10895968.333258478,0.006227435236158694,362997871.4512471,0.35376309560648794,710400000.0,0.0
3569,0.0,0.0,481203963.42813593,0.5643726589040313,49804885.69504569,0.12355828978612271,67460335.39143866,0.039478513192056114,86127330.34541386,0.10839872492638686,710400000.0,0.0
3570,0.0,0.0,10466131.626552846,0.01041499330535733,19645499.63025845,0.03616350274504025,113500615.95099045,0.04691498760592394,62691531.41884893,0.05838234711212405,710400000.0,0.0
3571,0.0,0.0,16285741.523534592,0.01498820486650872,55219587.66440445,0.09381203287914552,147018097.1606127,0.05285207349769867,66164002.75742039,0.05751188363837999,710400000.0,0.0
3572,0.0,0.0,71391237.2575211,0.059310775385421795,83474133.156553,0.1323384836592723,3520916.33780572,0.0017565733320923562,789709323.3415333,0.6023740853509096,710400000.0,0.0
3573,8843183.876397103,0.006197548885074618,9534022.804620499,0.010264663805285987,108329594.24748552,0.2103359829661716,4655951.079384804,0.0027751663308396715,81484948.04356205,0.08179790856357388,710400000.0,0.0
3574,0.0,0.0,29264095.75410357,0.02669934025337163,21028085.08547315,0.03616503449255168,4713825.250248,0.0024627813745280273,289057915.2430677,0.24308280825561634,710400000.0,0.0
3575,0.0,0.0,112839191.58387074,0.07854897298104692,98329074.30138084,0.13189625879384936,92695852.0961954,0.030411617094281466,79792494.01379614,0.0549854416565331,710400000.0,0.0
3576,700912396.6359522,0.5453075956233372,8637705.861511704,0.010377037860756588,69404840.85807346,0.15168881364320064,0.0,0.0,36744347.0259953,0.04158059312549279,710400000.0,0.0
3577,0.0,0.0,1164628002.851292,0.7887433114185043,908306088.8384546,1.216154138760257,3838082.7469495405,0.0017565733320923562,19389946.73835233,0.014662793678055888,710400000.0,0.0
3578,0.0,0.0,27720292.279517293,0.02635575372516167,120036611.53373805,0.2092659726794979,7523226.889023766,0.00391499747914208,25754312.576076772,0.02360476055279826,710400000.0,0.0
